8,126,6,3,1,1,2,369,67,1,19,0
8,126,6,4,1,1,2,369,67,1,19,0
8,126,30,5,1,1,2,369,67,1,19,0
16,9,118,1,6,0,0,369,67,1,5,0
8,126,3,6,2,1,2,369,67,1,19,0
3,16,4,2,4,1,0,369,67,1,5,0
3,16,5,3,4,1,0,369,67,1,5,0
12,16,2,5,1,1,0,369,67,1,5,0
12,146,4,5,1,1,0,369,67,1,17,0
12,4,6,5,1,1,0,369,67,1,11,0
6,118,1,4,0,1,1,369,67,2,17,0
6,29,1,4,0,1,1,369,67,2,5,0
17,118,1,5,3,1,1,0,67,2,17,0
17,510,9,5,3,1,1,0,67,2,27,0
12,143,2,5,1,1,0,369,67,1,24,0
12,16,2,6,2,1,0,369,67,1,5,0
12,34,4,1,2,1,0,369,67,1,19,0
24,458,14,1,6,0,1,369,67,1,5,1
17,16,1,5,3,1,1,0,67,2,5,0
17,1,3,5,3,1,1,0,67,2,5,0
12,4,1,1,2,1,0,369,67,1,11,0
17,34,10,5,3,1,1,0,67,2,19,0
12,16,1,1,2,1,0,369,67,1,5,0
12,16,2,2,2,1,0,369,67,1,5,0
12,29,8,2,2,1,0,369,67,1,5,0
17,34,20,6,4,1,1,0,67,2,19,0
17,1,6,6,4,1,1,0,67,2,5,0
12,34,4,2,2,1,0,369,67,1,19,0
15,29,4,6,6,0,1,369,67,1,5,0
12,34,1,3,2,1,0,369,67,1,19,0
15,29,4,1,6,0,1,369,67,1,5,0
12,29,8,3,2,1,0,369,67,1,5,0
6,111,1,1,6,0,1,369,67,1,23,0
24,416,14,1,6,0,1,369,67,1,13,0
19,164,47,3,5,0,0,661,130,2,21,0
19,352,1,3,5,0,0,661,130,2,17,0
17,107,37,6,4,1,1,0,67,2,7,0
41,29,16,3,5,0,0,0,0,0,5,0
12,29,1,5,2,1,0,369,67,1,5,0
12,34,1,5,2,1,0,369,67,1,19,0
19,356,3,2,6,0,0,661,130,9,21,0
41,34,3,3,5,0,0,0,0,0,19,0
38,16,3,3,5,0,1,147,40,2,5,0
12,146,1,5,2,1,0,369,67,1,17,0
24,458,39,2,6,0,1,369,67,1,5,1
16,29,111,3,5,0,1,369,67,2,5,0
12,146,1,0,3,1,0,369,67,1,17,0
