"","X","clicks_yn","AdvertiserId","UserId"
"1651378",1651378,2,12310026,1050215
"2757144",2757144,2,12692946,427697
"3340689",3340689,2,12671106,1075062
"2033195",2033195,2,12692946,1654879
"1313231",1313231,2,12310026,250516
"7656453",7656453,2,12692946,568218
"3241859",3241859,2,12671106,1389837
"3462922",3462922,2,12671106,1183581
"6006253",6006253,2,12310026,686642
"4075540",4075540,2,12310026,923787
"6560316",6560316,2,12310026,1325694
"1246140",1246140,2,12489066,640034
"6896833",6896833,2,12671106,23016
"1601563",1601563,2,12671106,971197
"5950024",5950024,2,12671106,125875
"182587",182587,2,12578706,781602
"1323227",1323227,2,12671106,1016750
"2812107",2812107,2,12692946,295981
"4921974",4921974,2,12692946,31298
"5718361",5718361,2,12692946,1486822
"3645578",3645578,2,12671106,206249
"4924721",4924721,2,12671106,1617401
"6259524",6259524,2,12310026,951053
"2912825",2912825,2,12310026,1839208
"7642500",7642500,2,12489066,690432
"4898275",4898275,2,12489066,1461583
"7787799",7787799,2,12489066,945999
"1505084",1505084,2,12578706,1060209
"7007608",7007608,2,12671106,1625198
"513642",513642,2,12692946,323278
"3593769",3593769,2,12671106,1065175
"3858050",3858050,2,12578706,692656
"4688218",4688218,2,12692946,1005476
"3067759",3067759,2,12671106,248509
"2308710",2308710,2,12671106,244709
"611537",611537,2,12692946,784716
"3983046",3983046,2,12671106,363836
"4421327",4421327,2,12692946,667452
"1610402",1610402,2,12692946,136716
"6465768",6465768,2,12310026,111046
"3860434",3860434,2,12489066,1501278
"2709238",2709238,2,12310026,163805
"2678841",2678841,2,12310026,1239818
"7070920",7070920,2,12692946,552846
"5680292",5680292,2,12310026,1589891
"4624238",4624238,2,12671106,1173277
"1547425",1547425,2,12671106,1704861
"5959028",5959028,2,12671106,848333
"2179566",2179566,2,12671106,658198
"6736577",6736577,2,12692946,900895
"1234278",1234278,2,12489066,412426
"3554804",3554804,2,12310026,1172732
"6208656",6208656,2,12578706,1419462
"6494369",6494369,2,12310026,968069
"487565",487565,2,12671106,1012338
"7596601",7596601,2,12310026,1738719
"2344616",2344616,2,12671106,371444
"7363395",7363395,2,12578706,345543
"5035650",5035650,2,12489066,306437
"474477",474477,2,12671106,498097
"445687",445687,2,12671106,868682
"5181060",5181060,2,12578706,1098737
"7046954",7046954,2,12578706,1748023
"5972902",5972902,2,12671106,346028
"7142772",7142772,2,12489066,1438872
"1443206",1443206,2,12578706,1371635
"1216926",1216926,2,12671106,1362224
